
10,47,73,0.049,0.053,110.0
10_time,622,702,0.091,0.104,110.0
25,100157,286281,1.305,5.187,210.0
25_time,2735117,3408750,29.031,244.096,230.0
29,786144,2674280,10.81,49.27,260.0
29_time,19495266,24667369,233.203,1695.975,280.0
34,9409756,35823200,173.817,886.395,790.0
34_time,176193688,224364214,2646.068,19088.778,720.0
