action,step,sched,DataExfiltration,WebReconSuccesful,AccesstoMySQL,AccesstoReverseShell,AccesstoExecuteArbitraryCode,AccesstoSensitiveFiles,WebserverPubliclyExposed,SOCKS5ProxyActive,CGIscriptsenabled,MisconfiguredApache,VulnerableApacheHTTPServerVersion,UnencryptedFiles,progressexfiltrateData,progressbufferOverflow,progressgetFiles,progresswebRecon,progresspathTraversal,progressgetLoginData,time1,progressencryptFile,progressupdateApache,progresschangeFilePermissions,progressdeactivateSOCKS5Proxy,progresschangeCredentials,progressdisableCGIScripts,progressreconfigureApache,time2,state_reward1,transition_reward1,state_reward2,transition_reward2
[wait2],21,1,0,1,0,1,0,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,0,0.0,0,0.0
[wait1],22,2,0,1,0,1,0,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,0,0.0,0,0.0
[wait2],23,1,0,1,0,1,0,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,0,0.0,0,0.0
[wait1],24,2,0,1,0,1,0,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,0,0.0,0,0.0
[wait2],25,1,0,1,0,1,0,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,0,0.0,0,0.0
[endgetLoginData],26,1,0,1,1,1,0,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,0,40.0,0,0.0
[startbufferOverflow],27,2,0,1,1,1,0,1,1,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,0,0.0,0,0.0
[wait2],28,1,0,1,1,1,0,1,1,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0,0.0,0,0.0
[wait1],29,2,0,1,1,1,0,1,1,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0,0.0,0,0.0
[wait2],30,1,0,1,1,1,0,1,1,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,0,0.0,0,0.0
